2026-04-28 11:31:22,NO_QUERY,Normal,Allowed
2026-04-28 11:31:25,NO_QUERY,Normal,Allowed
2026-04-28 11:31:44,user=admin'--,SQL Injection,Blocked
2026-04-28 11:31:51,user=admin'--,SQL Injection,Blocked
2026-04-28 11:32:03,user=admin'--,SQL Injection,Blocked
2026-04-28 11:32:09,q=1 OR 1=1,SQL Injection,Blocked
2026-04-28 11:32:13,login=admin',XSS Attack,Blocked
2026-04-28 11:32:20,q=<script>alert(1)</script>,XSS Attack,Blocked
2026-04-28 11:32:23,input=<img src=x onerror=alert(1)>,XSS Attack,Blocked
2026-04-28 11:32:27,data=<svg onload=alert(1)>,XSS Attack,Blocked
2026-04-28 11:32:31,name=hello,XSS Attack,Blocked
2026-04-28 11:32:38,id=123,XSS Attack,Blocked
2026-04-28 11:35:12,id=123,Normal,Allowed
2026-04-28 11:35:15,id=123,Normal,Allowed
2026-04-28 11:35:18,id=123,Normal,Allowed
2026-04-28 11:35:21,input=<img src=x onerror=alert(1)>,XSS Attack,Blocked
2026-04-28 11:43:53,,Normal,Allowed
2026-04-28 11:43:56,,Normal,Allowed
2026-04-28 11:43:59,,Normal,Allowed
2026-04-28 11:44:02,,Normal,Allowed
2026-04-28 11:44:05,,Normal,Allowed
2026-04-28 11:44:08,,Normal,Allowed
2026-04-28 11:44:11,,Normal,Allowed
2026-04-28 11:44:14,,Normal,Allowed
2026-04-28 11:44:18,,Normal,Allowed
2026-04-28 11:44:21,,Normal,Allowed
2026-04-28 11:44:24,,Normal,Allowed
2026-04-28 11:44:27,,Normal,Allowed
2026-04-28 11:44:30,,Normal,Allowed
2026-04-28 11:44:34,,Normal,Allowed
2026-04-28 11:44:37,,Normal,Allowed
2026-04-28 11:44:40,,Normal,Allowed
2026-04-28 11:44:43,,Normal,Allowed
2026-04-28 11:48:12,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:15,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:18,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:21,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:24,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:27,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:30,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:33,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:37,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:40,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:44,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:47,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:50,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:53,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:56,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:48:59,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:03,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:06,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:09,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:12,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:16,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:19,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:22,id=1' OR '1'='1,Normal,Allowed
2026-04-28 11:49:25,id=1' OR '1'='1,Normal,Allowed
